Timestamp,Sejak kapan Anda mengikuti JKT48 dan/atau menjadi fans JKT48? ,Gender,Usia,"Berdasarkan tempat tinggal Anda, manakah yang paling tepat mendeskripsikan Anda?",Apa status Anda saat ini?,Apakah Anda sudah pernah melakukan pembelian produk JKT48? ,Media sosial apa yang secara aktif Anda gunakan untuk menjalankan aktivitas sebagai fans JKT48 (idoling)?,Apa alasan yang men-trigger Anda untuk menjadi atau kembali menjadi fans JKT48 pasca-restrukturisasi? (Alasan menjadi fans JKT48),"Secara rata-rata, berapa uang yang Anda habiskan dalam sebulan untuk idoling?",Dari produk di bawah manakah yang pernah Anda beli?,"Dari pilihan di bawah ini, manakah sumber yang menginfluence Anda untuk menjadi Fans JKT48?",Jika Anda menjawab Streamer sebagai sumber awareness dan sumber influence Anda untuk menjadi fans JKT48. siapakah Streamer yang paling menginfluence Anda dan alasannya?,,,,,,,,,,,,,,,
12/29/2023 10:23:15,tahun 2021,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Karena sharehouse48,< Rp 500.000,Streaming Theater,JKT48 Tour 2022 & 2023,,,,,,,,,,,,,,,,
12/29/2023 10:23:28,tahun 2022,Laki-Laki,26-30 tahun,Fans near,Bekerja,Tidak,Twitter,suka dengan lagu-lagu dan vibesnya,< Rp 500.000,"Streaming Theater, Tiket Konser",Zee x Erigo New York,,,,,,,,,,,,,,,,
12/29/2023 10:23:39,tahun 2021,Laki-Laki,26-30 tahun,Fans near,Bekerja,Iya,Twitter,lagu dan aktivitas member yang menyemangati,Rp 500.000 - 1.000.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:24:00,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Ingin melihat perkembangan jkt48 setelah restrukturisasi ,< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",JKT48 Tour 2022 & 2023,Gak ada si,,,,,,,,,,,,,,,
12/29/2023 10:24:21,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Karena lagunya enak enak,< Rp 500.000,"Streaming Theater, Birthday T-shirt",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:24:47,tahun 2021,Laki-Laki,20-25 tahun,Fans near,Bekerja,Iya,Twitter,"member lebih sedikit, lebih mudah mengenali satu sama lain",Rp 1.000.001 - 1.500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Festival musik yang mengundang JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:25:19,tahun 2021,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Berawal dari Gen 1 dan 2 pasca setelah mereka Graduation Jeketi seperti kehilangan sesuatu namun di New Era pasca masa Keemasan Gen 1 ternyata Gen berikutnya memiliki sesuatu yang terpendam terlebih New Era yang dipimpin oleh Shani selaku Kapten yang membuat masa Keemasan itu kembali,< Rp 500.000,"Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:25:28,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Fureyaaaaa,< Rp 500.000,"Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:25:41,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Mendengarkan heavy rotation,Rp 1.000.001 - 1.500.000,Merchandise Lainnya,Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:25:45,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Tertarik sama salah satu member yaitu freya,< Rp 500.000,Streaming Theater,Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:25:47,tahun 2022,Laki-Laki,26-30 tahun,Fans near,Bekerja,Iya,Twitter,"Iseng liat MC di YouTube trus keterusan dan kecantol sama oniel, trus research lagi dan sampai sekarang keterusan",Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Tiket Konser, Tiket event off-air atau on-air",Twitter terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:25:47,tahun 2021,Laki-Laki,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,River,< Rp 500.000,"Video Call with JKT48, Tiket Konser",Lainnya,engga ada. streamer anjing semua,,,,,,,,,,,,,,,
12/29/2023 10:26:29,tahun 2023,Laki-Laki,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,"Kak Freya yang memenuhi FYP TikTok dan beranda Instagram, membuat saya penasaran tentangnya dan setelah mencari informasi lebih saya jadi tahu tentang JKT48 dan semenjak itu saya mulai mengikuti JKT48 dan menjadi fans :) ",< Rp 500.000,"Video Call with JKT48, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:26:33,tahun 2022,Perempuan,10-15 tahun,Fans near,Pelajar/Mahasiswa,Tidak,Twitter,"jdi awal 2021 banyak seliweran di fyp vt delshel  dan disitu masih blm tau JKT48, pas di bulan Desember tahun 2022 itu banyak seliweran vt sharehouse48, vt Zee, dan yg lain, disitu mulai ngikutin JKT48 smpe sekarang ",< Rp 500.000,Tiket event off-air atau on-air,Konten Clip Theater JKT48,tdk ada,,,,,,,,,,,,,,,
12/29/2023 10:26:38,tahun 2022,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Member yang masih bertahan dari proses restrukturisasi dan beberapa mv yg dikeluarkan,< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air",JKT48 Tour 2022 & 2023,-,,,,,,,,,,,,,,,
12/29/2023 10:27:09,tahun 2021,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Instagram,Supaya idol masa kecil gua kagak punah,Rp 500.000 - 1.000.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Streamer,Robby S. Putra karena dia gua jadi cukup mengenal dunia peridolan ini,,,,,,,,,,,,,,,
12/29/2023 10:27:12,tahun 2023,Laki-Laki,26-30 tahun,Fans far,Bekerja,Tidak,Tiktok,Zee,< Rp 500.000,Streaming Theater,Streamer,DeanKT,,,,,,,,,,,,,,,
12/29/2023 10:27:22,tahun 2022,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,chant fansnya seru,< Rp 500.000,"Theater, Streaming Theater, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:27:29,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter, pertama kali melihat mc ariella calista (gen 6) di teater jkt48 sehinga penasaran apa itu jkt48 dan sampai sekarang menjadi fans jkt48 ,< Rp 500.000,Streaming Theater,Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:27:39,tahun 2022,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Tertarik dengan pesona member yang selalu memberikan energi positif khususnya cepio,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,Tidak ada,,,,,,,,,,,,,,,
12/29/2023 10:27:46,tahun 2023,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,Karena Oshi,Rp 1.500.001 - 2.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:28:12,tahun 2021,Perempuan,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,mensupport sisa member yang ada,Rp 500.000 - 1.000.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Tiket Konser",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:28:56,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,meme freya + konten tiktok,< Rp 500.000,"Video Call with JKT48, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:29:25,tahun 2022,Perempuan,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,karena ada berapa member yang menarik perhatian saya untuk kembali menjadi fans jkt48 ,< Rp 500.000,Merchandise Lainnya,Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:29:28,tahun 2022,Perempuan,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Klip konten SR,< Rp 500.000,Streaming Theater,Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:29:30,tahun 2022,Laki-Laki,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,Ini semua berkat clipper show theater dan showroom yang banyak di platform tiktok membuat saya dan banyak teman teman diluar sana ikut mengenal jkt48,< Rp 500.000,"Birthday T-shirt, Merchandise Lainnya",Konten Clip Theater JKT48,"Dulu sih ngga ada, tapi mungkin kalau sekarang si bang AL (Naplive) Ama sir UPI (Lutfihalimawan)",,,,,,,,,,,,,,,
12/29/2023 10:29:33,tahun 2023,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Instagram,"tertarik, hal baru yang saya coba",< Rp 500.000,"Streaming Theater, Merchandise Lainnya",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:29:46,tahun 2023,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"pas lagi galau, terus denger lagu jkt + suka aja liat 'cewe cantik', siapa si yg ga suka liat cewe cakep bahkan beberapa cewe aja suka.",< Rp 500.000,"Streaming Theater, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Twitter terkait JKT48,Windah Basudara pas ngundang jesslyn katrin gita,,,,,,,,,,,,,,,
12/29/2023 10:29:52,tahun 2023,Laki-Laki,26-30 tahun,Fans far,Bekerja,Tidak,Twitter,Awalnya video freya dan gita di short youtube tapi mutusin balik suka jkt setelah nonton youtube TG purnama karena bisa tau yang di lakuin jkt dari terakhir gue ngidol di 2017-2022,< Rp 500.000,Merchandise Lainnya,Konten Clip Theater JKT48,TG Purnama,,,,,,,,,,,,,,,
12/29/2023 10:29:55,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"kultur idoling yang seru, musik yg easy listening, tentunya member yang cantik",< Rp 500.000,"Theater, Streaming Theater, Tiket event off-air atau on-air",Streamer,"DEANKT & Windah Basudara (DEANKT= media share yang memperkenalkan banyak member JKT48, Windah Basudara = streaming charity)",,,,,,,,,,,,,,,
12/29/2023 10:30:00,tahun 2021,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"awalnya memang sudah ingin ngidol sebelum restruk,tapi dgn adanya covid saya urungkan niat tsb,dan lanjut pasca restruk",Rp 1.500.001 - 2.000.000,"Streaming Theater, 2-Shot, Birthday T-shirt",Twitter terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:30:35,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,Lihat penampilan jkt48 di JIS tp tertarik pas liat wotagei di lagu first rabbit. Tetiba algoritma yt menampilkan jkt48 terus.. dan smpt liat yg tour sblm konser heaven. Akhirnya mulai mengikuti lg dan malah memperdalam untuk mengenal setiap member. ,< Rp 500.000,Streaming Theater,JKT48 Tour 2022 & 2023,,,,,,,,,,,,,,,,
12/29/2023 10:30:51,tahun 2023,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,"Lagu lagu nya enak didengar, seru ngikutin rasa kebersamaan dan kekeluargaan nya para member",< Rp 500.000,"Streaming Theater, Birthday T-shirt",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:31:16,tahun 2023,Laki-Laki,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Youtube,Alasan saya jadi fjkt karena liat meme Freya bulan April dan mulai dari situ tertarik sama JKT48,< Rp 500.000,"Birthday T-shirt, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:31:21,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"Casual listener jkt48 dari sebelum beberapa lagu hilang dari spotify (cth: pesawat kertas 365 hari) lalu tertarik member jkt48 setelah konten jkt48tv Freya waktu ramadhan, konten yang pakai mukena",< Rp 500.000,"Theater, Streaming Theater, Meet and Greet, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:31:22,tahun 2021,Laki-Laki,26-30 tahun,Fans near,Bekerja,Iya,Twitter,Konten kreator fjkt dan konser heaven,< Rp 500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:31:36,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Memberinya makin cantik,< Rp 500.000,"Streaming Theater, Birthday T-shirt, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:31:38,tahun 2021,Perempuan,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Suka lagunya,< Rp 500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Tiket Konser, Merchandise Lainnya",Konten Clip Theater JKT48,-,,,,,,,,,,,,,,,
12/29/2023 10:32:15,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Meme Freya ,< Rp 500.000,"Streaming Theater, Meet and Greet",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:32:43,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Bekerja,Tidak,Twitter,Pengen menaikkan nama JKT48 lagi,< Rp 500.000,Streaming Theater,Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:32:49,tahun 2023,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Instagram,"seru, bisa naikin mood gitu",Rp 500.000 - 1.000.000,Streaming Theater,Instagram post terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:33:32,tahun 2021,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Tertarik dengan sistem dan konsep idol JKT48 serta vibe dalam ngidol,Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:33:36,tahun 2023,Laki-Laki,26-30 tahun,Fans far,Bekerja,Iya,Twitter,"Mengikuti JKT48 sejak debut, mulai stop 2016. Kembali mengikuti setelah ada member di channel Windah Basudara & mediashare di channel DeanKT",< Rp 500.000,Merchandise Lainnya,Streamer,"DeanKT. Relate dalam beberapa hal termasuk bahasa daerah yang digunakan, ketidaktahuan dan keingintahuannya tentang JKT48 menjadi hiburan tersendiri",,,,,,,,,,,,,,,
12/29/2023 10:33:43,tahun 2022,Perempuan,20-25 tahun,Fans far,Bekerja,Iya,Twitter,suka liat keseruan member,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Merchandise Lainnya",Zee x Erigo New York,,,,,,,,,,,,,,,,
12/29/2023 10:33:52,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Iya,Twitter,Karena JKT48 mempunyai sistem yang menarik (48Group). Saya sangat suka ketika JKT48 tampil dengan 48G lain dalam satu acara seperti Asia Festival. Melihat komentar komentar fans membuat saya sebagai orang Indonesia merasa bangga mempunyai JKT48 dalam 48Group,< Rp 500.000,"Streaming Theater, Video Call with JKT48, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:34:06,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"mungkin basic ya, gara2 ngeliat video atau apapun itu yg berhubungan dengan jkt48. ngeliat jkt48 itu kaya beda gitu, di Indonesia ini kan belum ada idol grub yang sebesar jkt48 ini, jadinya ya ngerasa ketrigger buat mengenal lebih jauh jkt48. karena aku ngerasa jkt48 ini bisa jadi pionir buat idol2 grub kedepannya di Indonesia, melihat banyaknya masyarakat Indonesia yang menyukai dunia peridolan",Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:34:19,tahun 2023,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,"udh tau jkt dari lama, dengerin lagunya, tpi belum terlalu ngikutin, dan ada momen dimana melihat video member fyp, mulai kepo dan stalking, nyoba dengerin lagu jkt  yg lain, nonton live/sr, lama-lama kok nyaman dan ya kejebak di fandom ini",< Rp 500.000,"Streaming Theater, Birthday T-shirt",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:34:31,tahun 2023,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Dikarenakan suka dengan member membernya yang ceria dan jalinan pertemanan mereka bagus. Selain itu, adanya tiktok yang memperlihatkan aktivitas membernya yang saya maksud ini member adel dan ashel yang membuat saya tertarik mengikuti idol grub ini. Saya suka dengan persahabatan mereka berdua, dan setelah mengulik lebih dalam idol grub ini, saya sudah banyak tahu tentang idol grub ini, dan saya senang mengikuti kegiatan-kegiatan perjalanan jkt selama setengah tahun ini.",< Rp 500.000,Tiket Konser,Konten Tiktok Terkait JKT48,Saat ini belum ada streamer yang menginfluence saya karena saya lebih mengulik sendiri JKT48 ini lewat Twitter dan konten konten lama jkt di youtube dan media sosial lainnya.,,,,,,,,,,,,,,,
12/29/2023 10:34:40,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Titik kembalinya gw jd fjkt adalah karena liat pengumuman senbatsu FH yg di videotron itu (dgn kata lain gw fjkt yg hiatus), abis tu dibuka lah pintu masuknya sama si Chika dengan gummy smilenya.
Singkat cerita, liat2 sr nya, kebetulan dia sr bareng Marsha, abis tu oshiin Marsha.
Gw masih inget bgt itu awal tahun 2023 karna emng sts nya si Marsha, daann keterusan lah ampe sekarang.
*fansnya banyak yg baru, tapi tubirannya masih sama (alias selalu dan pasti ada tubiran) wkwk",Rp 500.000 - 1.000.000,"Streaming Theater, Meet and Greet",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:35:02,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,Karena tertarik dengan satu member (Shani Indira Natio) melalui fyp tiktok dan memulai mengikuti JKT48,< Rp 500.000,"Streaming Theater, Birthday T-shirt",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:35:16,tahun 2023,Laki-Laki,10-15 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,mulai kepo sama jeketi karena michie akhirnya dengerin hissatsu dan mulai menyelam ke dunia perjekatean,< Rp 500.000,Merchandise Lainnya,Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:36:00,tahun 2022,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Melihat konten tiktok tentang konser heaven dan mulai penasaran dengan hal"" berbau JKT48 ",< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,-,,,,,,,,,,,,,,,
12/29/2023 10:36:14,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,Banyak fjkt memperkenalkan membernya lewat mediashere streamer dan meme freya,< Rp 500.000,Birthday T-shirt,Streamer,"Deankt, Alasannya banyak fjkt memperkenalkan membernya lewat mediashere dan potongan teather di mediashere, ty",,,,,,,,,,,,,,,
12/29/2023 10:36:29,tahun 2021,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Salah satunya bisa buat diri aku terinspirasi atau katakanlah termotivasi untuk berubah karena aku tipe orang yang susah buat termotivasi dari siapapun dan baru menemukan di fandom ini,< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:36:37,tahun 2022,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,fortune cookies ketika viral viralnya dan mencoba mendalaminya,< Rp 500.000,"Meet and Greet, Tiket Konser, Tiket event off-air atau on-air",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:36:47,tahun 2023,Laki-Laki,10-15 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Saat awal 2023 saya merasa sangat kesepian, lalu di fyp tiktok saya sering kali mendengar lagu² jkt48 saya jadi tertarik dgn jkt48 ditambah lgi reels ig sering muncul meme² member jkt, lalu saya menyelami tentang jkt48 dan fandom ini saya benar² menyukai jkt48 apalagi fandomnya yg benar² sangat asik dan lagu² ny yg sangat memberi semangat",< Rp 500.000,"Birthday T-shirt, Merchandise Lainnya",Konten Tiktok Terkait JKT48,Saya sering menonton streamer yg tau jg sama jkt tpi hanya sedikit yg menginfluence,,,,,,,,,,,,,,,
12/29/2023 10:38:23,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,atmosphere dari fans dan member ketika sedang perform,Rp 500.000 - 1.000.000,"Streaming Theater, 2-Shot, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Festival musik yang mengundang JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:38:25,tahun 2021,Laki-Laki,20-25 tahun,Fans far,Bekerja,Tidak,Twitter,mendukung oshi,< Rp 500.000,Streaming Theater,Twitter terkait JKT48,tidak ada,,,,,,,,,,,,,,,
12/29/2023 10:38:53,tahun 2021,Laki-Laki,15-20 tahun,Fans near,Bekerja,Tidak,Twitter,"Justru jadi fjkt setelah restrukturisasi, pas itu di tiktok lumayan fyp terus jadi penasaran",< Rp 500.000,Merchandise Lainnya,Lainnya,"Mungkin bang windah basudara, mereka juga udh ngundang member juga kan yg awalnya cuma bertiga jesslyn, kathrin, gita dan kmrn berhasil ngundang juga di event mereka sendiri",,,,,,,,,,,,,,,
12/29/2023 10:39:25,tahun 2023,Laki-Laki,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,"Terasa lebih fresh aja. Dan setelah muncul kembali generasi2 baru, jd pengen tau lebih siapa2 aja mereka",Rp 1.500.001 - 2.000.000,"Theater, Streaming Theater, Video Call with JKT48, Merchandise Lainnya",Lainnya,"Ga ada, fans streamer nyampah doang",,,,,,,,,,,,,,,
12/29/2023 10:39:27,tahun 2021,Perempuan,di atas 30 tahun,Fans far,Bekerja,Iya,Twitter,"Ingin melihat perkembangannya oshi sendiri n JKT48 nya, plus pengalihan dari kpop, krn SNSD ga comeback2 🤭",Rp 500.000 - 1.000.000,"Streaming Theater, Birthday T-shirt",Twitter terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:40:02,tahun 2022,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,Penasaran pen ngidol ama girl group lokal,< Rp 500.000,Streaming Theater,Zee x Erigo New York,,,,,,,,,,,,,,,,
12/29/2023 10:40:07,tahun 2023,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,Hadirnya berbagai meme di timeline tentang member jkt48,< Rp 500.000,Theater,Meme Freya,,,,,,,,,,,,,,,,
12/29/2023 10:40:10,tahun 2023,Perempuan,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,"Kebahagiaan sih, karena mungkin sebelum saya mengenal jkt48 saya sedang merasa kosong dan hampa, karena sedang disibukkan oleh tugas dan rumitnya perkuliahan, saya rasa saya bertemu dan mengenal jkt48 bukan tanpa alasan.",< Rp 500.000,"Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:40:57,tahun 2023,Laki-Laki,20-25 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,toxic relationship ,Rp 1.000.001 - 1.500.000,"Theater, Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:41:16,tahun 2021,Laki-Laki,15-20 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,"Berawal dari kesepian setelah ditinggal pacar, hanya lagu2 jkt48 yang menemani. Dan juga rasa ingin mendukung jkt48 lagi.",< Rp 500.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Lainnya,-,,,,,,,,,,,,,,,
12/29/2023 10:41:51,tahun 2021,Perempuan,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Tiktok,Alasan utama ngikutin jkt lagi karna liat kerandoman sr zee christy+clip theater yg di up ke tiktok,< Rp 500.000,Streaming Theater,Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:42:05,tahun 2022,Laki-Laki,20-25 tahun,Fans far,Pelajar/Mahasiswa,Iya,Twitter,Mencari pelampiasan dan terlanjur nyaman sampai sekarang,< Rp 500.000,"Streaming Theater, 2-Shot, Meet and Greet, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Konten Tiktok Terkait JKT48,,,,,,,,,,,,,,,,
12/29/2023 10:42:11,tahun 2022,Laki-Laki,15-20 tahun,Fans near,Pelajar/Mahasiswa,Iya,Twitter,"Sebelum mengikuti dunia JKT, dulu ngikutin dunia idol Korea dan karena udah bosen karena  interaksi nya cuma liat idol nya tampil di YouTube dan susah buat ketemu langsung, dan sama temen di suruh buat ikutin JKT aja soalnya mudah interaksi ke idolnya",Rp 500.000 - 1.000.000,"Streaming Theater, Video Call with JKT48, 2-Shot, Birthday T-shirt, Tiket Konser, Tiket event off-air atau on-air, Merchandise Lainnya",Lainnya,,,,,,,,,,,,,,,,
12/29/2023 10:42:36,tahun 2023,Perempuan,15-20 tahun,Fans far,Pelajar/Mahasiswa,Tidak,Twitter,Melihat mereka semua bekerja keras untuk menaikkan nama JKT48 dan mereka semua itu orang yang paling keren setelah keluargaku.,< Rp 500.000,Merchandise Lainnya,Konten Clip Theater JKT48,,,,,,,,,,,,,,,,
